epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,917.362,1.17021,0.25469,0.07105,0.71932,1.09628,0.98595,1,0.98485,0.58369,0.98595,1,0.98485,0.98145,1.37121,0.09284,0.00416,0.59284,1.26359,0.000374242,0.000374242,0.000374242
49,937.306,1.1665,0.2764,0.06537,0.71964,1.09633,0.98727,0.99791,0.9851,0.59336,0.98727,0.99791,0.9851,0.98408,1.34156,0.07898,0.00389,0.62339,1.25774,0.000346736,0.000346736,0.000346736
50,957.292,1.1486,0.2588,0.06695,0.69665,1.08519,0.98618,1,0.98531,0.58968,0.98618,1,0.98531,0.98484,1.32329,0.07634,0.004,0.60204,1.24539,0.000319231,0.000319231,0.000319231
51,1003.53,1.07338,0.16199,0.01807,0.56237,1.08109,0.98611,1,0.98485,0.57412,0.98611,1,0.98485,0.9844,1.36104,0.07381,0.00222,0.59664,1.27204,0.000291725,0.000291725,0.000291725
52,1022.35,1.06872,0.16382,0.01547,0.55431,1.08872,0.97619,0.98958,0.97177,0.56015,0.98635,1,0.98485,0.983,1.41521,0.07848,0.00252,0.62468,1.30037,0.00026422,0.00026422,0.00026422
53,1041.19,1.05236,0.15733,0.01308,0.54624,1.07622,0.97363,0.98958,0.97168,0.56222,0.98376,1,0.98485,0.98307,1.42111,0.07448,0.00254,0.61705,1.29686,0.000236714,0.000236714,0.000236714
54,1060.06,1.0609,0.1571,0.01723,0.53913,1.08298,0.98569,1,0.98485,0.58037,0.98569,1,0.98485,0.98402,1.38341,0.06717,0.00221,0.5919,1.28106,0.000209209,0.000209209,0.000209209
55,1078.98,1.0271,0.15252,0.01295,0.5202,1.06716,0.98624,1,0.98485,0.58547,0.98624,1,0.98485,0.98339,1.36563,0.07683,0.00184,0.5755,1.27382,0.000181703,0.000181703,0.000181703
56,1097.75,1.01914,0.1504,0.01062,0.52169,1.05991,0.97894,1,0.98531,0.58945,0.97894,1,0.98531,0.98477,1.38508,0.06792,0.00184,0.59024,1.27626,0.000154198,0.000154198,0.000154198
57,1116.59,1.01125,0.15078,0.01374,0.51844,1.06691,0.98719,1,0.98485,0.58752,0.98719,1,0.98485,0.98275,1.37665,0.07237,0.00154,0.58257,1.29929,0.000126692,0.000126692,0.000126692
58,1135.48,0.9929,0.14453,0.01304,0.5114,1.06009,0.98443,1,0.98485,0.59107,0.98443,1,0.98485,0.98214,1.35292,0.07126,0.00145,0.55077,1.28581,9.91865e-05,9.91865e-05,9.91865e-05
59,1154.26,0.99353,0.1525,0.01187,0.50612,1.06559,0.98503,1,0.9851,0.57947,0.98503,1,0.9851,0.98272,1.38414,0.0724,0.00151,0.55821,1.28906,7.1681e-05,7.1681e-05,7.1681e-05
60,1173.08,0.97674,0.15207,0.01212,0.50018,1.05575,0.9854,1,0.98531,0.58287,0.9854,1,0.98531,0.98313,1.39196,0.06468,0.00157,0.57111,1.28915,4.41755e-05,4.41755e-05,4.41755e-05
