epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5402,1.92672,3.02617,0.48876,1.8836,1.60185,0.62959,0.71878,0.6265,0.29185,0.67884,0.87649,0.71935,0.44913,1.76069,1.84221,0.13071,1.92657,1.84226,0.000552562,0.000552562,0.000552562
2,43.9675,1.66226,1.56329,0.36505,1.25015,1.35212,0.69083,0.76473,0.72693,0.34471,0.58193,0.64923,0.60414,0.51847,1.52579,2.22111,0.09846,3.1765,1.43262,0.00108994,0.00108994,0.00108994
3,62.9332,1.62285,1.2956,0.32049,1.17033,1.33569,0.67881,0.93935,0.91346,0.43908,0.58153,0.80308,0.69122,0.53421,1.55484,2.37738,0.09264,1.70812,1.44204,0.00160899,0.00160899,0.00160899
4,81.7672,1.60313,1.11235,0.28344,1.1619,1.32119,0.85458,0.86647,0.8716,0.43263,0.90826,0.92795,0.95932,0.83351,1.48214,0.58289,0.05756,1.16898,1.38011,0.00158448,0.00158448,0.00158448
5,100.455,1.54244,0.96477,0.26329,1.08403,1.30134,0.88833,0.88053,0.92988,0.4844,0.78,0.7821,0.82423,0.736,1.54167,2.07595,0.08267,1.03456,1.46843,0.00155698,0.00155698,0.00155698
6,119.283,1.52221,0.92136,0.23908,1.07701,1.28202,0.9199,0.97959,0.97545,0.52611,0.85874,0.91688,0.90415,0.85461,1.44035,0.91763,0.04676,0.87381,1.37231,0.00152947,0.00152947,0.00152947
7,138.371,1.50049,0.8328,0.23527,1.03402,1.25911,0.90751,0.93852,0.9572,0.52365,0.88651,0.91773,0.92743,0.8898,1.39915,0.54911,0.06384,1.04575,1.2869,0.00150197,0.00150197,0.00150197
8,157.152,1.48134,0.75756,0.20389,1.00472,1.25026,0.90952,0.88776,0.94968,0.52614,0.93354,0.90816,0.96817,0.92449,1.43199,0.36637,0.03713,0.8517,1.32129,0.00147446,0.00147446,0.00147446
9,175.862,1.4499,0.73894,0.19759,1.00128,1.23842,0.92034,0.90816,0.95304,0.55338,0.88913,0.92815,0.94415,0.91577,1.37539,0.46621,0.04861,0.86186,1.28462,0.00144696,0.00144696,0.00144696
10,194.753,1.43376,0.67307,0.17173,0.97729,1.23182,0.93517,0.96918,0.96845,0.48729,0.94528,0.97959,0.97752,0.94858,1.51616,0.25706,0.03879,0.81892,1.37708,0.00141945,0.00141945,0.00141945
11,213.468,1.40633,0.66044,0.16681,0.94677,1.2085,0.92887,0.97959,0.96198,0.53267,0.93865,0.9898,0.97199,0.93265,1.39724,0.22052,0.0328,0.78417,1.35303,0.00139195,0.00139195,0.00139195
12,232.236,1.42012,0.57653,0.15783,0.93902,1.21449,0.91076,0.9898,0.97699,0.51446,0.92144,1,0.98011,0.97056,1.41404,0.19079,0.02438,0.83008,1.3502,0.00136444,0.00136444,0.00136444
13,251.17,1.40887,0.56882,0.14985,0.95381,1.20941,0.89739,0.94262,0.94669,0.53445,0.91649,0.96303,0.96394,0.94656,1.38519,0.21362,0.03511,0.80908,1.28978,0.00133693,0.00133693,0.00133693
14,269.862,1.40337,0.57041,0.14002,0.91771,1.2091,0.93369,0.9898,0.97771,0.5274,0.9135,0.96896,0.95017,0.9254,1.39321,0.38103,0.05273,0.74953,1.33256,0.00130943,0.00130943,0.00130943
15,288.612,1.39565,0.53992,0.12846,0.9022,1.21133,0.93714,0.9898,0.97285,0.54275,0.94691,1,0.98766,0.95937,1.38174,0.24344,0.03218,0.7885,1.30268,0.00128192,0.00128192,0.00128192
16,307.518,1.36762,0.51203,0.12588,0.90797,1.19554,0.93804,0.98059,0.98854,0.57265,0.93804,0.98059,0.98854,0.95935,1.37209,0.2213,0.01751,0.77713,1.2807,0.00125442,0.00125442,0.00125442
17,326.354,1.36695,0.50714,0.11283,0.92384,1.1874,0.95992,0.97938,0.96738,0.52399,0.98013,1,0.98612,0.9699,1.4403,0.183,0.01628,0.81444,1.33587,0.00122691,0.00122691,0.00122691
18,345.354,1.34247,0.45698,0.10399,0.89231,1.17775,0.96399,0.9898,0.98055,0.55448,0.97413,1,0.98745,0.98078,1.38408,0.13058,0.01934,0.73691,1.28511,0.00119941,0.00119941,0.00119941
19,364.255,1.34363,0.45703,0.11009,0.90258,1.18206,0.96476,0.95918,0.97485,0.54984,0.97585,0.96939,0.98476,0.9689,1.38352,0.15581,0.03372,0.77395,1.28805,0.0011719,0.0011719,0.0011719
20,383.204,1.33403,0.46425,0.10252,0.87378,1.16225,0.96449,1,0.99,0.59317,0.96449,1,0.99,0.97648,1.29061,0.14096,0.01373,0.74047,1.24885,0.0011444,0.0011444,0.0011444
21,402.218,1.32685,0.45504,0.10469,0.86693,1.16506,0.96892,1,0.9847,0.54942,0.96892,1,0.9847,0.9788,1.44064,0.13809,0.01563,0.7355,1.32175,0.00111689,0.00111689,0.00111689
22,421.154,1.31283,0.43807,0.09762,0.86651,1.17658,0.98655,0.99895,0.99459,0.56123,0.98655,0.99895,0.99459,0.97375,1.36978,0.19128,0.01879,0.71001,1.26346,0.00108938,0.00108938,0.00108938
23,439.953,1.32947,0.40572,0.09403,0.83936,1.16809,0.96581,0.97959,0.98064,0.57088,0.97614,0.98833,0.9843,0.97022,1.3399,0.14333,0.01244,0.75651,1.24281,0.00106188,0.00106188,0.00106188
24,458.91,1.30318,0.41621,0.088,0.84137,1.15521,0.96406,0.98343,0.98943,0.5581,0.96406,0.98343,0.98943,0.9824,1.4217,0.10652,0.01673,0.72465,1.34283,0.00103437,0.00103437,0.00103437
25,477.545,1.31124,0.38067,0.09308,0.84673,1.15045,0.96993,1,0.98325,0.54441,0.96993,1,0.98325,0.97607,1.34595,0.12162,0.01372,0.76422,1.28039,0.00100687,0.00100687,0.00100687
26,496.413,1.30702,0.41831,0.0947,0.85086,1.15511,0.97913,0.9898,0.98511,0.57148,0.97913,0.9898,0.98511,0.97496,1.31154,0.1308,0.01034,0.7229,1.23898,0.000979362,0.000979362,0.000979362
27,515.113,1.28118,0.37312,0.08934,0.8363,1.14696,0.97529,0.99625,0.98465,0.58148,0.97529,0.99625,0.98465,0.98093,1.33935,0.09414,0.0086,0.72353,1.25839,0.000951857,0.000951857,0.000951857
28,533.863,1.2743,0.35141,0.08093,0.81867,1.14185,0.98345,1,0.98592,0.5676,0.98345,1,0.98592,0.98472,1.34499,0.09867,0.01354,0.71264,1.2519,0.000924352,0.000924352,0.000924352
29,552.974,1.26519,0.3454,0.08117,0.81431,1.12962,0.98283,1,0.98612,0.57824,0.98283,1,0.98612,0.97874,1.32385,0.1084,0.01074,0.71272,1.25702,0.000896846,0.000896846,0.000896846
30,571.773,1.27521,0.35321,0.07908,0.80567,1.13575,0.97827,1,0.98633,0.55198,0.97827,1,0.98633,0.9851,1.36072,0.07922,0.00909,0.73017,1.28585,0.00086934,0.00086934,0.00086934
31,590.63,1.28537,0.3747,0.08157,0.81017,1.14709,0.9815,1,0.98551,0.55776,0.9815,1,0.98551,0.98521,1.35659,0.13082,0.01626,0.69204,1.2788,0.000841835,0.000841835,0.000841835
32,609.292,1.28131,0.347,0.07813,0.80885,1.14483,0.94359,0.97938,0.97235,0.55898,0.96363,1,0.98634,0.9848,1.37989,0.09643,0.0101,0.72698,1.2867,0.000814329,0.000814329,0.000814329
33,627.945,1.24228,0.33795,0.08264,0.8081,1.12339,0.95667,1,0.98555,0.57936,0.95667,1,0.98555,0.98462,1.34338,0.10375,0.00608,0.66921,1.26857,0.000786824,0.000786824,0.000786824
34,646.888,1.25141,0.32409,0.08167,0.80546,1.13823,0.97068,0.9898,0.969,0.59201,0.98077,1,0.98531,0.9808,1.3073,0.0917,0.00557,0.68102,1.25432,0.000759318,0.000759318,0.000759318
35,665.852,1.25669,0.33911,0.078,0.79358,1.13517,0.95647,0.97923,0.96246,0.5682,0.97661,0.99985,0.98185,0.97819,1.34317,0.09704,0.00855,0.73851,1.27464,0.000731813,0.000731813,0.000731813
36,684.535,1.22648,0.32531,0.07508,0.77305,1.12044,0.97461,1,0.98572,0.57213,0.97461,1,0.98572,0.98261,1.34307,0.08679,0.00798,0.67434,1.25251,0.000704307,0.000704307,0.000704307
37,703.708,1.23289,0.33772,0.07587,0.77242,1.12249,0.97287,1,0.98531,0.58082,0.97287,1,0.98531,0.98186,1.36213,0.09541,0.00488,0.66048,1.25707,0.000676802,0.000676802,0.000676802
38,722.477,1.22951,0.32302,0.07499,0.78589,1.12536,0.97375,1,0.9851,0.57637,0.97375,1,0.9851,0.9851,1.33178,0.08621,0.01033,0.68575,1.25287,0.000649297,0.000649297,0.000649297
39,741.364,1.22438,0.29138,0.073,0.76347,1.12096,0.96741,0.98958,0.97729,0.57226,0.97754,1,0.98485,0.98274,1.34206,0.08305,0.00448,0.72924,1.27642,0.000621791,0.000621791,0.000621791
40,760.384,1.22779,0.30091,0.06892,0.78064,1.11995,0.96468,0.97463,0.98393,0.5588,0.96468,0.97463,0.98393,0.97999,1.33725,0.10084,0.00452,0.73039,1.25456,0.000594286,0.000594286,0.000594286
41,779.2,1.21445,0.30696,0.07507,0.77672,1.12102,0.98467,1,0.98571,0.57607,0.98467,1,0.98571,0.98066,1.38321,0.11228,0.00574,0.6261,1.26813,0.00056678,0.00056678,0.00056678
42,798.514,1.20675,0.26927,0.06891,0.74974,1.11118,0.97662,0.99537,0.98613,0.57278,0.97662,0.99537,0.98613,0.98533,1.4194,0.07748,0.00697,0.65383,1.29474,0.000539275,0.000539275,0.000539275
43,818.243,1.20359,0.29144,0.0731,0.74168,1.11509,0.98592,1,0.98551,0.57473,0.98592,1,0.98551,0.98344,1.37849,0.08095,0.00867,0.66863,1.28387,0.000511769,0.000511769,0.000511769
44,837.787,1.20394,0.29128,0.06879,0.76206,1.10976,0.97989,1,0.9851,0.58158,0.97989,1,0.9851,0.983,1.32991,0.08716,0.00679,0.66322,1.27773,0.000484263,0.000484263,0.000484263
45,857.334,1.18844,0.28909,0.06854,0.74619,1.10172,0.98342,1,0.98485,0.57742,0.98342,1,0.98485,0.97964,1.33891,0.09588,0.00502,0.66259,1.26263,0.000456758,0.000456758,0.000456758
46,877.541,1.18811,0.27078,0.06431,0.733,1.10263,0.98311,1,0.9851,0.60051,0.98311,1,0.9851,0.97891,1.33654,0.09025,0.00367,0.64445,1.24962,0.000429253,0.000429253,0.000429253
47,897.74,1.17886,0.27222,0.06943,0.73771,1.10204,0.98322,1,0.98531,0.58555,0.98322,1,0.98531,0.9839,1.33748,0.07632,0.00516,0.65194,1.27115,0.000401747,0.000401747,0.000401747
