epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,518.879,1.31147,0.39435,0.08908,0.81495,1.16352,0.92261,0.95192,0.91318,0.54561,0.9545,0.98077,0.96277,0.9397,1.25392,0.23151,0.01118,0.79851,1.16699,0.000951857,0.000951857,0.000951857
28,537.854,1.3156,0.37278,0.09688,0.85635,1.17092,0.95513,0.97115,0.95715,0.57066,0.95498,0.97035,0.95622,0.93595,1.23302,0.32292,0.00913,0.8009,1.1738,0.000924352,0.000924352,0.000924352
29,556.657,1.2757,0.35486,0.08068,0.79922,1.14499,0.95382,0.96864,0.95846,0.55351,0.9637,0.9781,0.96309,0.94934,1.2713,0.21048,0.00857,0.79668,1.16963,0.000896846,0.000896846,0.000896846
30,575.511,1.29155,0.32636,0.07969,0.80935,1.15912,0.91119,0.94231,0.93234,0.56744,0.93135,0.96154,0.95278,0.93079,1.24088,0.2235,0.00905,0.80267,1.19795,0.00086934,0.00086934,0.00086934
31,594.276,1.2829,0.36463,0.08547,0.79684,1.15238,0.954,0.97115,0.94706,0.58034,0.96386,0.98077,0.96079,0.94355,1.27912,0.21444,0.00673,0.75165,1.18817,0.000841835,0.000841835,0.000841835
32,613.229,1.27926,0.33284,0.07872,0.78745,1.15349,0.95692,0.97067,0.95423,0.57343,0.96674,0.98028,0.96154,0.94879,1.22451,0.20855,0.00838,0.77849,1.1725,0.000814329,0.000814329,0.000814329
33,632.121,1.24972,0.31997,0.08453,0.78592,1.1346,0.96416,0.97115,0.95589,0.56733,0.97425,0.98077,0.96108,0.94734,1.27766,0.20733,0.00641,0.75509,1.17221,0.000786824,0.000786824,0.000786824
34,650.912,1.25546,0.3379,0.08385,0.8127,1.14319,0.97541,0.97396,0.96468,0.58448,0.97541,0.97396,0.96468,0.9517,1.20817,0.21749,0.01159,0.7313,1.1728,0.000759318,0.000759318,0.000759318
35,669.875,1.25262,0.32265,0.0832,0.78973,1.13466,0.96242,0.98077,0.96125,0.59654,0.96242,0.98077,0.96125,0.94917,1.24581,0.20423,0.01246,0.78248,1.18799,0.000731813,0.000731813,0.000731813
36,688.852,1.23926,0.31194,0.0737,0.76654,1.12643,0.9676,0.98077,0.96168,0.58078,0.9676,0.98077,0.96168,0.94924,1.2868,0.20578,0.00989,0.71147,1.18187,0.000704307,0.000704307,0.000704307
37,707.813,1.25035,0.30479,0.07561,0.78348,1.13569,0.95857,0.96157,0.95563,0.56969,0.96857,0.97119,0.96305,0.94782,1.26003,0.19319,0.00813,0.74276,1.16343,0.000676802,0.000676802,0.000676802
38,726.707,1.24414,0.30496,0.07827,0.76625,1.12924,0.96634,0.98077,0.96113,0.58244,0.96634,0.98077,0.96113,0.94978,1.20734,0.19275,0.00806,0.72,1.14759,0.000649297,0.000649297,0.000649297
39,745.496,1.23231,0.3117,0.0818,0.74772,1.12199,0.97636,0.98077,0.96212,0.59002,0.97636,0.98077,0.96212,0.95173,1.23278,0.19049,0.00741,0.69228,1.1547,0.000621791,0.000621791,0.000621791
40,764.373,1.23442,0.28916,0.0735,0.75808,1.11783,0.97397,0.98077,0.96408,0.58879,0.97397,0.98077,0.96408,0.94941,1.21531,0.19748,0.00592,0.74376,1.17846,0.000594286,0.000594286,0.000594286
41,783.327,1.21485,0.29147,0.07763,0.75178,1.12243,0.9749,0.98077,0.96447,0.57726,0.9749,0.98077,0.96447,0.9558,1.24153,0.18324,0.00783,0.70188,1.17374,0.00056678,0.00056678,0.00056678
42,802.276,1.21807,0.29319,0.07101,0.75111,1.12188,0.97526,0.98077,0.96128,0.58533,0.97526,0.98077,0.96128,0.95021,1.20811,0.18401,0.00732,0.72466,1.17146,0.000539275,0.000539275,0.000539275
43,821.37,1.2042,0.26317,0.06887,0.74991,1.11533,0.9753,0.98077,0.96198,0.57738,0.9753,0.98077,0.96198,0.95125,1.21614,0.17734,0.00594,0.73217,1.16125,0.000511769,0.000511769,0.000511769
44,840.387,1.20221,0.28429,0.06682,0.74715,1.12125,0.97383,0.98077,0.96175,0.57589,0.97383,0.98077,0.96175,0.95639,1.28286,0.18149,0.00911,0.70722,1.1857,0.000484263,0.000484263,0.000484263
45,859.508,1.2041,0.27509,0.07327,0.72851,1.11107,0.96607,0.96883,0.96134,0.58909,0.97612,0.97844,0.96505,0.9547,1.29726,0.18804,0.0069,0.68233,1.18201,0.000456758,0.000456758,0.000456758
46,878.488,1.18406,0.27076,0.07138,0.71169,1.10718,0.97443,0.98077,0.96297,0.58282,0.97443,0.98077,0.96297,0.95427,1.23675,0.18137,0.00757,0.67309,1.1648,0.000429253,0.000429253,0.000429253
47,897.569,1.19986,0.28027,0.07444,0.72615,1.11357,0.97482,0.98077,0.9639,0.57482,0.97482,0.98077,0.9639,0.94991,1.30939,0.19164,0.00662,0.67357,1.18961,0.000401747,0.000401747,0.000401747
48,916.607,1.17842,0.2596,0.06698,0.70451,1.10915,0.97647,0.98077,0.96477,0.58069,0.97647,0.98077,0.96477,0.95452,1.27285,0.18606,0.00625,0.66471,1.18306,0.000374242,0.000374242,0.000374242
49,935.366,1.16517,0.24392,0.0678,0.71203,1.09129,0.9781,0.97926,0.96248,0.5622,0.9781,0.97926,0.96248,0.95124,1.26825,0.18683,0.00651,0.70824,1.17511,0.000346736,0.000346736,0.000346736
50,954.136,1.16471,0.24726,0.06754,0.69284,1.0945,0.97365,0.98077,0.96299,0.58127,0.97365,0.98077,0.96299,0.95334,1.25753,0.17926,0.00789,0.70882,1.16518,0.000319231,0.000319231,0.000319231
51,1002.12,1.09008,0.15554,0.01905,0.55411,1.10662,0.97661,0.98077,0.96183,0.57795,0.97661,0.98077,0.96183,0.95337,1.26574,0.17154,0.00357,0.7037,1.17283,0.000291725,0.000291725,0.000291725
52,1020.97,1.07762,0.15064,0.01983,0.54654,1.09826,0.97723,0.98077,0.96349,0.57551,0.97723,0.98077,0.96349,0.9564,1.29062,0.17279,0.00447,0.68951,1.19098,0.00026422,0.00026422,0.00026422
53,1039.93,1.06297,0.14467,0.0154,0.53847,1.08489,0.97621,0.98077,0.96338,0.58526,0.97621,0.98077,0.96338,0.95341,1.24719,0.17338,0.00407,0.66894,1.1753,0.000236714,0.000236714,0.000236714
54,1058.78,1.05641,0.14107,0.01789,0.52971,1.09067,0.97733,0.98077,0.96412,0.58497,0.97733,0.98077,0.96412,0.95669,1.26652,0.17041,0.0038,0.69522,1.17934,0.000209209,0.000209209,0.000209209
55,1077.75,1.03834,0.14052,0.01841,0.53547,1.07984,0.97499,0.98077,0.96434,0.58294,0.97499,0.98077,0.96434,0.96197,1.29817,0.17225,0.0062,0.67162,1.19645,0.000181703,0.000181703,0.000181703
56,1096.7,1.02822,0.1363,0.01752,0.52446,1.08455,0.97274,0.98077,0.96421,0.58175,0.97274,0.98077,0.96421,0.9589,1.2762,0.16648,0.00288,0.66719,1.18514,0.000154198,0.000154198,0.000154198
57,1115.36,1.02212,0.13759,0.01463,0.51284,1.07085,0.97533,0.98077,0.96425,0.58097,0.97533,0.98077,0.96425,0.95702,1.28364,0.16679,0.00349,0.65885,1.20894,0.000126692,0.000126692,0.000126692
58,1134.2,1.00196,0.13833,0.01475,0.50601,1.06431,0.97352,0.98077,0.96416,0.58412,0.97352,0.98077,0.96416,0.95482,1.26529,0.17573,0.00306,0.68155,1.18847,9.91865e-05,9.91865e-05,9.91865e-05
59,1153.14,0.99892,0.13566,0.01657,0.50878,1.0709,0.9734,0.98077,0.96425,0.5809,0.9734,0.98077,0.96425,0.9574,1.2839,0.16891,0.00398,0.67529,1.19674,7.1681e-05,7.1681e-05,7.1681e-05
60,1172.19,0.99246,0.13732,0.01581,0.50541,1.07324,0.96934,0.98077,0.96443,0.58337,0.96934,0.98077,0.96443,0.95809,1.29757,0.16876,0.00312,0.67597,1.19977,4.41755e-05,4.41755e-05,4.41755e-05
